marka,kategori,ebat,urun_kodu,desen,liste_fiyati,perakende_fiyati
LASSA,YAZ,295/35R20,219782,DRIVEWAYS SPORT+,16033.0,16033.0
LASSA,YAZ,255/35R20,219785,DRIVEWAYS SPORT+,12959.0,12959.0
LASSA,YAZ,255/40R20,219789,DRIVEWAYS SPORT+,13213.0,13213.0
LASSA,YAZ,255/35R19,219791,DRIVEWAYS SPORT+,11845.0,11845.0
LASSA,YAZ,235/35R19,219790,DRIVEWAYS SPORT+,12243.0,12243.0
LASSA,YAZ,225/35R19,219787,DRIVEWAYS SPORT+,11777.0,11777.0
LASSA,YAZ,255/40R19,219792,DRIVEWAYS SPORT+,13305.0,13305.0
LASSA,YAZ,245/40R19,219784,DRIVEWAYS SPORT+,12367.0,12367.0
LASSA,YAZ,255/35R18,219794,DRIVEWAYS SPORT+,10060.0,10060.0
LASSA,YAZ,245/40R18,218046,REVOLA,9509.0,9509.0
LASSA,YAZ,245/40R18,219779,DRIVEWAYS SPORT+,9684.0,9684.0
LASSA,YAZ,235/40R18,218042,REVOLA,9038.0,9038.0
LASSA,YAZ,235/40R18,219788,DRIVEWAYS SPORT+,9217.0,9217.0
LASSA,YAZ,225/40R18,218015,REVOLA,6552.0,6552.0
LASSA,YAZ,225/40R18,219783,DRIVEWAYS SPORT+,6682.0,6682.0
LASSA,4 MEVSIM,225/40R18,213141,MULTIWAYS 2,7577.0,7577.0
LASSA,YAZ,255/45R18,219781,DRIVEWAYS SPORT+,11331.0,11331.0
LASSA,YAZ,245/45R18,212722,REVOLA,10082.0,10082.0
LASSA,YAZ,235/45R18,218029,REVOLA,11222.0,11222.0
LASSA,YAZ,235/45R18,219773,DRIVEWAYS SPORT+,11341.0,11341.0
LASSA,YAZ,225/45R18,218041,REVOLA,10224.0,10224.0
LASSA,YAZ,225/45R18,219772,DRIVEWAYS SPORT+,10433.0,10433.0
LASSA,YAZ,245/50R18,219793,DRIVEWAYS SPORT+,12050.0,12050.0
LASSA,YAZ,245/40R17,219778,DRIVEWAYS SPORT+,8836.0,8836.0
LASSA,YAZ,215/40R17,212719,REVOLA,8780.0,8780.0
LASSA,YAZ,205/40R17,212718,REVOLA,7560.0,7560.0
LASSA,YAZ,245/45R17,218031,REVOLA,9199.0,9199.0
LASSA,YAZ,245/45R17,219780,DRIVEWAYS SPORT+,9367.0,9367.0
LASSA,YAZ,235/45R17,218037,REVOLA,6925.0,6925.0
LASSA,YAZ,235/45R17,219777,DRIVEWAYS SPORT+,7053.0,7053.0
LASSA,YAZ,225/45R17,218047,REVOLA,6132.0,6132.0
LASSA,YAZ,225/45R17,219776,DRIVEWAYS SPORT+,6496.0,6496.0
LASSA,4 MEVSIM,225/45R17,213142,MULTIWAYS 2,6655.0,6655.0
LASSA,YAZ,215/45R17,219775,DRIVEWAYS SPORT+,7550.0,7550.0
LASSA,YAZ,205/45R17,219774,DRIVEWAYS SPORT+,7637.0,7637.0
LASSA,YAZ,225/50R17,218018,REVOLA,8728.0,8728.0
LASSA,4 MEVSIM,225/50R17,213167,MULTIWAYS 2,9404.0,9404.0
LASSA,YAZ,215/50R17,218028,REVOLA,8850.0,8850.0
LASSA,4 MEVSIM,215/50R17,213118,MULTIWAYS 2,9562.0,9562.0
LASSA,YAZ,205/50R17,212712,REVOLA,8451.0,8451.0
LASSA,4 MEVSIM,205/50R17,213152,MULTIWAYS 2,9232.0,9232.0
LASSA,YAZ,225/55R17,218024,REVOLA,9493.0,9493.0
LASSA,4 MEVSIM,225/55R17,213144,MULTIWAYS 2,10075.0,10075.0
LASSA,YAZ,215/55R17,212726,REVOLA,8976.0,8976.0
LASSA,4 MEVSIM,215/55R17,213135,MULTIWAYS 2,9534.0,9534.0
LASSA,YAZ,205/55R17,218039,REVOLA,8400.0,8400.0
LASSA,4 MEVSIM,205/55R17,213153,MULTIWAYS 2,9109.0,9109.0
LASSA,YAZ,215/45R16,219462,DRIVEWAYS,8324.0,8324.0
LASSA,YAZ,205/45R16,219480,DRIVEWAYS,8960.0,8960.0
LASSA,YAZ,195/45R16,219423,DRIVEWAYS,7163.0,7163.0
LASSA,YAZ,205/50R16,219407,DRIVEWAYS,8129.0,8129.0
LASSA,YAZ,195/50R16,218044,REVOLA,7637.0,7637.0
LASSA,YAZ,225/55R16,218045,REVOLA,10181.0,10181.0
LASSA,YAZ,215/55R16,218022,REVOLA,8352.0,8352.0
LASSA,YAZ,215/55R16,218019,REVOLA,8214.0,8214.0
LASSA,4 MEVSIM,215/55R16,213119,MULTIWAYS 2,8484.0,8484.0
LASSA,YAZ,205/55R16,218052,REVOLA,5820.0,5820.0
LASSA,YAZ,205/55R16,218004,REVOLA,5967.0,5967.0
LASSA,4 MEVSIM,205/55R16,213147,MULTIWAYS 2,5972.0,5972.0
LASSA,4 MEVSIM,205/55R16,213115,MULTIWAYS 2,6162.0,6162.0
LASSA,YAZ,195/55R16,218035,REVOLA,6712.0,6712.0
LASSA,4 MEVSIM,195/55R16,213111,MULTIWAYS 2,6970.0,6970.0
LASSA,YAZ,185/55R16,214516,GREENWAYS,7985.0,7985.0
LASSA,YAZ,215/60R16,218009,REVOLA,8675.0,8675.0
LASSA,4 MEVSIM,215/60R16,213136,MULTIWAYS 2,9254.0,9254.0
LASSA,YAZ,205/60R16,218008,REVOLA,7430.0,7430.0
LASSA,4 MEVSIM,205/60R16,213116,MULTIWAYS 2,7481.0,7481.0
LASSA,YAZ,205/60R16,218527,IMPETUS REVO,7766.0,7766.0
