tedarikci,marka,ebat,urun_kodu,sezon,alici,donem,adet,fabrika,uretim_bas,uretim_bit,liste
BRISA,LASSA,205/55R16,214800,KIS,KRB,1,800,,,,6087
BRISA,LASSA,205/55R16,214800,KIS,KRB,2,400,,,,6087
BRISA,LASSA,205/55R16,214800,KIS,MUTAFLAR,1,800,,,,6087
BRISA,LASSA,205/55R16,214800,KIS,MUTAFLAR,2,450,,,,6087
BRISA,LASSA,205/55R16,214800,KIS,YEDI_OTO,2,2000,,,,6087
BRISA,LASSA,235/65R16C,243889,KIS,KRB,1,600,,,,12841
BRISA,LASSA,235/65R16C,243889,KIS,KRB,2,300,,,,12841
BRISA,LASSA,235/65R16C,243889,KIS,MUTAFLAR,1,200,,,,12841
BRISA,LASSA,235/65R16C,243889,KIS,MUTAFLAR,2,60,,,,12841
BRISA,LASSA,235/65R16C,243889,KIS,YEDI_OTO,2,400,,,,12841
BRISA,LASSA,175/65R14,212007,KIS,KRB,1,4,,,,4682
BRISA,LASSA,175/65R15,214874,KIS,KRB,1,12,,,,5725
BRISA,LASSA,175/65R15,214874,KIS,KRB,2,8,,,,5725
BRISA,BRIDGESTONE,205/55R16,610569,KIS,KRB,1,300,,,,7069
BRISA,BRIDGESTONE,205/55R16,610569,KIS,KRB,2,100,,,,7069
BRISA,BRIDGESTONE,205/55R16,610569,KIS,MUTAFLAR,1,400,,,,7069
BRISA,BRIDGESTONE,205/55R16,610569,KIS,MUTAFLAR,2,600,,,,7069
BRISA,BRIDGESTONE,205/55R16,610569,KIS,YEDI_OTO,2,200,,,,7069
BRISA,LASSA,175/70R13,212033,KIS,KRB,1,4,,,,4424
BRISA,LASSA,175/70R14,214877,KIS,KRB,1,12,,,,5007
BRISA,LASSA,175/70R14,214877,KIS,KRB,2,8,,,,5007
BRISA,LASSA,175/70R14,214877,KIS,YEDI_OTO,2,8,,,,5007
BRISA,LASSA,185/55R15,224873,KIS,KRB,1,8,,,,6964
BRISA,LASSA,185/55R15,224873,KIS,KRB,2,4,,,,6964
BRISA,LASSA,185/55R15,224873,KIS,MUTAFLAR,2,4,,,,6964
BRISA,BRIDGESTONE,185/55R15,511463,KIS,KRB,1,4,,,,7993
BRISA,BRIDGESTONE,185/55R15,511463,KIS,KRB,2,4,,,,7993
BRISA,BRIDGESTONE,185/55R16,517891,KIS,KRB,1,4,,,,9625
BRISA,BRIDGESTONE,185/55R16,517891,KIS,KRB,2,4,,,,9625
BRISA,LASSA,185/60R14,214879,KIS,KRB,1,20,,,,4944
BRISA,LASSA,185/60R14,214879,KIS,KRB,2,8,,,,4944
BRISA,LASSA,185/60R14,214879,KIS,MUTAFLAR,2,8,,,,4944
BRISA,LASSA,185/60R14,214879,KIS,YEDI_OTO,2,8,,,,4944
BRISA,LASSA,185/60R14,212009,KIS,KRB,1,8,,,,5191
BRISA,LASSA,185/60R15,214853,KIS,MUTAFLAR,1,60,,,,5529
BRISA,LASSA,185/60R15,214853,KIS,MUTAFLAR,2,20,,,,5529
BRISA,LASSA,185/60R15,214853,KIS,YEDI_OTO,2,40,,,,5529
BRISA,LASSA,185/65R15,214885,KIS,KRB,1,400,,,,5009
BRISA,LASSA,185/65R15,214885,KIS,KRB,2,200,,,,5009
BRISA,LASSA,185/65R15,214885,KIS,MUTAFLAR,1,260,,,,5009
BRISA,LASSA,185/65R15,214885,KIS,MUTAFLAR,2,240,,,,5009
BRISA,LASSA,185/65R15,214885,KIS,YEDI_OTO,2,900,,,,5009
BRISA,BRIDGESTONE,185/60R15,612605,KIS,KRB,1,12,,,,6179
BRISA,BRIDGESTONE,185/60R15,612605,KIS,KRB,2,8,,,,6179
BRISA,BRIDGESTONE,185/60R15,612605,KIS,MUTAFLAR,2,8,,,,6179
BRISA,LASSA,185/60R15,212024,KIS,KRB,1,4,,,,5787
BRISA,LASSA,195/55R16,214854,KIS,KRB,1,400,,,,7149
BRISA,LASSA,195/55R16,214854,KIS,KRB,2,200,,,,7149
BRISA,LASSA,195/55R16,214854,KIS,MUTAFLAR,1,200,,,,7149
BRISA,LASSA,195/55R16,214854,KIS,MUTAFLAR,2,200,,,,7149
BRISA,LASSA,195/55R16,214854,KIS,YEDI_OTO,2,80,,,,7149
BRISA,LASSA,185/65R14,212036,KIS,KRB,1,4,,,,5155
BRISA,LASSA,215/75R16C,243880,KIS,KRB,1,400,,,,10006
BRISA,LASSA,215/75R16C,243880,KIS,KRB,2,200,,,,10006
BRISA,LASSA,215/75R16C,243880,KIS,MUTAFLAR,1,200,,,,10006
BRISA,LASSA,215/75R16C,243880,KIS,MUTAFLAR,2,180,,,,10006
BRISA,LASSA,215/75R16C,243880,KIS,YEDI_OTO,2,400,,,,10006
BRISA,BRIDGESTONE,185/65R15,612601,KIS,KRB,1,150,,,,5661
BRISA,BRIDGESTONE,185/65R15,612601,KIS,KRB,2,150,,,,5661
BRISA,BRIDGESTONE,185/65R15,612601,KIS,MUTAFLAR,2,48,,,,5661
BRISA,BRIDGESTONE,185/65R15,612601,KIS,YEDI_OTO,2,100,,,,5661
BRISA,LASSA,195/65R15,214857,KIS,KRB,1,300,,,,5009
BRISA,LASSA,195/65R15,214857,KIS,KRB,2,200,,,,5009
BRISA,LASSA,195/65R15,214857,KIS,MUTAFLAR,1,200,,,,5009
BRISA,LASSA,195/65R15,214857,KIS,MUTAFLAR,2,200,,,,5009
BRISA,LASSA,195/65R15,214857,KIS,YEDI_OTO,2,500,,,,5009
BRISA,BRIDGESTONE,185/65R15,511672,KIS,KRB,1,24,,,,5926
BRISA,BRIDGESTONE,185/65R15,511672,KIS,KRB,2,16,,,,5926
BRISA,LASSA,185/65R15,212005,KIS,KRB,1,12,,,,5365
