Pager usage is off.
Timing is off.

################ SECTION A — TABLE INVENTORY (ad + tahmini satir) ################
                  table_name                   | approx_rows 
-----------------------------------------------+-------------
 agent_greeting_cache                          |          27
 ai_analysis_context                           |           0
 ai_finding_examples                           |           0
 assessment_access_tokens                      |           0
 assessment_blueprints                         |           0
 assessment_categories                         |           0
 assessment_invitation_logs                    |           0
 assessment_participants                       |           0
 assessment_projects                           |           4
 assessment_reminder_logs                      |           0
 assessment_sessions                           |           0
 assessments                                   |           0
 audit_events                                  |           0
 bi_agent_memory                               |           0
 bi_arac_kategorileri                          |           0
 bi_arac_yetki                                 |           0
 bi_ayar                                       |           0
 bi_bildirim                                   |        1210
 bi_bilinen_deger                              |           0
 bi_bolum_icgoru                               |           0
 bi_cari_bakiye                                |         410
 bi_conversations                              |           0
 bi_deploy_log                                 |          21
 bi_ekonomik_parametreler                      |          54
 bi_etkinlik                                   |         654
 bi_fatura_tahsilat                            |           0
 bi_finansal_icgoru                            |           2
 bi_fingerprint_durum                          |           0
 bi_fiyat_iskonto                              |           0
 bi_fiyat_listesi_kalemler                     |           0
 bi_fiyat_listesi_uploads                      |           0
 bi_geri_bildirim                              |           5
 bi_icgoru                                     |          20
 bi_icgoru_geribildirim                        |           0
 bi_ingestion_log                              |         783
 bi_insa_gunlugu                               |          34
 bi_itiraz                                     |           0
 bi_kacan_satislar                             |           0
 bi_kokpit_duzeltme                            |           0
 bi_kokpit_takip                               |           0
 bi_kokpit_tercih                              |           0
 bi_kullanici_profil                           |           0
 bi_maliyet_ay                                 |       66281
 bi_maliyet_sku                                |        2607
 bi_marj_atom                                  |       15631
 bi_marj_fact                                  |       28968
 bi_metrik_gecmis                              |           0
 bi_morning_briefings                          |           2
 bi_musteri_bakiye_olu_yedek                   |           0
 bi_musteri_risk                               |       38933
 bi_musteri_risk_gecmis                        |           0
 bi_musteri_risk_odeme                         |           0
 bi_musteri_risk_yedek_20260724                |           0
 bi_musteri_risk_yedek_20260805                |           0
 bi_musteri_risk_yedek_manual_0805             |           0
 bi_nabiz                                      |           0
 bi_nabiz_durum                                |           0
 bi_odeme_gecmisi                              |      308390
 bi_odeme_gecmisi_yedek_20260807               |           0
 bi_on_siparis                                 |           0
 bi_paylasim_log                               |           0
 bi_pazar_fiyat                                |           0
 bi_pazar_talep                                |           0
 bi_price_monitor                              |           0
 bi_push_token                                 |          13
 bi_rakip_fiyat                                |           0
 bi_rakip_fiyat_alarm                          |           0
 bi_rakip_fiyat_gecmis                         |           0
 bi_rakip_izle                                 |           0
 bi_rakip_izle_ayar                            |           0
 bi_saglik_agrega                              |           0
 bi_saglik_alarm                               |           0
 bi_saglik_config                              |           0
 bi_saha_hafiza                                |           0
 bi_saha_sesi                                  |           0
 bi_satis_doviz_yedek_20260713_182902          |           0
 bi_satis_faturalari                           |      369284
 bi_satis_faturalari_yedek_20260713_052539     |           0
 bi_satis_faturalari_yedek_20260713_052650     |           0
 bi_satis_faturalari_yedek_20260713_054416     |           0
 bi_satis_faturalari_yedek_20260713_070459     |           0
 bi_satis_faturalari_yedek_20260713_070640     |           0
 bi_satis_faturalari_yedek_20260713_070746     |           0
 bi_sayi_koken                                 |           0
 bi_scrape_run                                 |           0
 bi_sinyal                                     |          34
 bi_sinyal_aday                                |          62
 bi_sinyal_gecmis                              |           0
 bi_sistem_sorusu                              |           0
 bi_stok_anlik                                 |        3167
 bi_stok_durumu_olu_yedek                      |           0
 bi_stok_hareket                               |      585212
 bi_stok_hareketleri_olu_yedek                 |           0
 bi_tahsilat                                   |        7448
 bi_tahsilat_yedek_20260807                    |           0
 bi_tahsilat_yedek_faza_20260807               |           0
 bi_tedarikci_faturalari                       |      148131
 bi_tedarikci_faturalari_yedek_20260713_072222 |           0
 bi_tedarikci_kampanya                         |           0
 bi_tedarikci_tesvik                           |           0
 bi_tenant_hafiza                              |         169
 bi_tesvik_segment_map                         |           0
 bi_urun_master                                |           0
 bi_yasa                                       |           0
 bi_yetenek                                    |         362
 brain_conversations                           |          18
 brain_notes                                   |           0
 brain_preferences                             |           0
 brain_tasks                                   |           0
 business_domains                              |           0
 company_kpi_selections                        |           0
 company_profiles                              |           0
 company_progress_snapshots                    |           0
 company_user_assignments                      |           9
 consultant_company_assignments                |           0
 demo_requests                                 |           0
 departments                                   |           0
 domain_perception_gaps                        |           0
 domain_taxonomy                               |           0
 evidence                                      |           0
 finding_consultant_feedback                   |           0
 finding_history                               |           0
 findings                                      |           0
 framework_activities                          |           0
 framework_kpis                                |           0
 framework_question_banks                      |           0
 framework_scoring_config                      |           0
 frameworks                                    |           0
 generated_reports                             |           0
 impact_dimensions                             |           0
 industry_benchmarks                           |           0
 intake_domain_mapping                         |           0
 ip_blocks                                     |           0
 kpi_definitions                               |           0
 kpi_history                                   |           0
 kpis                                          |           0
 krb_audit_logs                                |           0
 krb_issues                                    |           0
 krb_qa_runs                                   |           0
 login_attempt_log                             |           0
 master_musteri                                |       39126
 master_urun                                   |        9574
 maturity_dimensions                           |           0
 maturity_scores                               |           0
 methodology_templates                         |           0
 methodology_versions                          |           0
 module_plans                                  |           0
 opportunities                                 |           0
 opportunity_classes                           |           0
 ops_ayar                                      |           0
 ops_health                                    |        2829
 ops_incident                                  |          67
 organization_memberships                      |          15
 organizations                                 |          24
 pain_point_evidence                           |           0
 pain_points                                   |           0
 participant_upload_batches                    |           0
 password_reset_tokens                         |           0
 platform_feedback                             |           0
 platform_glossary                             |           0
 platform_modules                              |           0
 platform_tenants                              |           0
 problem_types                                 |           0
 process_inventory                             |           0
 progress_insights                             |           0
 project_context_intakes                       |           0
 project_kpi_gaps                              |           0
 project_kpi_measurements                      |           0
 project_memberships                           |          15
 project_participants                          |           0
 project_stakeholders                          |           0
 question_category_map                         |           0
 question_domain_history                       |           0
 question_domain_map                           |           0
 question_effectiveness                        |           0
 question_expected_impacts                     |           0
 question_expected_problem_types               |           0
 question_expected_root_causes                 |           0
 question_option_translations                  |           0
 question_options                              |           0
 question_templates                            |           0
 question_translations                         |           0
 questions                                     |         376
 recommendation_history                        |           0
 recommendations                               |           0
 rep_kimlik_koprusu                            |           0
 response_analysis_domains                     |           0
 response_analysis_impacts                     |           0
 response_analysis_problem_types               |           0
 response_analysis_root_causes                 |           0
 response_answer_analysis                      |           0
