muhatap_kodu,odeme_bicimi,vadesi_gecmis,ort_tahsilat_gun
M4129543,BELIRTILMEMIS,0.0,1.0
M4129551,BELIRTILMEMIS,0.0,0.0
M4129553,BELIRTILMEMIS,0.0,0.0
M4129557,BELIRTILMEMIS,0.0,0.0
M4129563,BELIRTILMEMIS,0.0,0.0
M4129564,BELIRTILMEMIS,0.0,0.0
M4129610,BELIRTILMEMIS,0.0,0.0
M4129579,BELIRTILMEMIS,0.0,0.0
M4129580,BELIRTILMEMIS,0.0,0.0
M4129613,BELIRTILMEMIS,0.0,0.0
M4127651,BELIRTILMEMIS,0.0,0.0
M4127261,Kredi Kartı,0.0,0.0
M4127013,Kredi Kartı,0.0,0.0
M4127087,Peşin,0.0,0.0
M4127105,BELIRTILMEMIS,0.0,10.67
M4128296,BELIRTILMEMIS,0.0,0.0
M4127010,Kredi Kartı,0.0,0.0
M4129530,BELIRTILMEMIS,0.0,0.0
M4127124,BELIRTILMEMIS,0.0,0.0
M4127158,BELIRTILMEMIS,0.0,0.0
M4127370,Kredi Kartı,0.0,0.0
M4127370,BELIRTILMEMIS,0.0,131.0
M4127408,BELIRTILMEMIS,0.0,0.0
M4127540,BELIRTILMEMIS,0.0,0.0
M4127054,Kredi Kartı,0.0,0.0
M4127298,Kredi Kartı,0.0,0.0
M4127494,Kredi Kartı,0.0,0.0
M4127541,Kredi Kartı,0.0,0.0
M4127590,Peşin,0.0,-1.0
M4129689,Kredi Kartı,0.0,0.0
M4127502,Kredi Kartı,0.0,-0.5
M4127502,Havale,0.0,0.0
M4127043,Havale,0.0,60.33
M4127043,Kredi Kartı,0.0,0.0
M4127426,Kredi Kartı,0.0,-0.5
M4127268,Kredi Kartı,0.0,33.75
M4127139,Kredi Kartı,0.0,0.0
M4127031,Kredi Kartı,0.0,0.0
M4127090,Kredi Kartı,0.0,0.0
M4127206,BELIRTILMEMIS,0.0,0.0
M4127267,BELIRTILMEMIS,0.0,0.0
M4127276,BELIRTILMEMIS,0.0,0.0
M4127522,BELIRTILMEMIS,0.0,0.0
M4129566,Kredi Kartı,0.0,0.0
